line         score     log(score)
 avg  4.922996e-11     -23.734519
 tot  0.000000e+00 -688301.042368

  line         score  log(score)
     1  9.547600e-10  -20.769561
     2  6.228867e-04   -7.381146
     3  5.878679e-07  -14.346764
     4  2.729342e-03   -5.903695
     5  8.969048e-04   -7.016561
     6  6.757845e-10  -21.115147
     7  7.993075e-08  -16.342105
     8  8.219865e-15  -32.432223
     9  5.587819e-06  -12.094922
    10  3.278827e-10  -21.838365
    11  1.350618e-10  -22.725289
    12  8.228424e-15  -32.431182
    13  4.956699e-05   -9.912186
    14  3.861800e-05  -10.161792
    15  7.271045e-04   -7.226440
    16  1.112474e-24  -55.155456
    17  8.777465e-03   -4.735568
    18  1.460128e-18  -41.068008
    19  3.104176e-06  -12.682762
    20  3.999777e-23  -51.573218
    21  5.919129e-15  -32.760587
    22  3.729568e-11  -24.012144
    23  1.278384e-06  -13.569914
    24  8.484334e-05   -9.374704
    25  2.648997e-13  -28.959425
    26  7.950022e-19  -41.675942
    27  8.383568e-03   -4.781482
    28  2.798815e-09  -19.694070
    29  5.081144e-14  -30.610655
    30  1.234058e-09  -20.512958
    31  4.214961e-16  -35.402721
    32  2.071296e-04   -8.482166
    33  9.432803e-05   -9.268732
    34  1.794225e-09  -20.138692
    35  1.677551e-03   -6.390420
    36  1.242798e-16  -36.623996
    37  1.768629e-06  -13.245306
    38  2.756534e-12  -26.617047
    39  8.152638e-03   -4.809414
    40  4.631739e-13  -28.400674
    41  1.399481e-04   -8.874239
    42  4.408368e-10  -21.542346
    43  2.047978e-03   -6.190902
    44  1.867650e-02   -3.980489
    45  4.691104e-14  -30.690523
    46  3.180950e-04   -8.053160
    47  7.010820e-06  -11.868056
    48  1.669689e-04   -8.697703
    49  1.057151e-08  -18.365103
    50  9.032742e-26  -57.666356
    51  5.091301e-11  -23.700903
    52  1.989245e-12  -26.943266
    53  7.745248e-04   -7.163261
    54  5.311522e-14  -30.566313
    55  5.014032e-04   -7.598100
    56  1.073215e-05  -11.442267
    57  5.087368e-12  -26.004261
    58  2.640502e-20  -45.080733
    59  4.672856e-05   -9.971155
    60  1.448352e-05  -11.142499
    61  6.584138e-11  -23.443773
    62  4.685698e-12  -26.086506
    63  8.184176e-12  -25.528819
    64  2.007475e-07  -15.421218
    65  2.883750e-19  -42.690025
    66  1.048789e-05  -11.465289
    67  5.583002e-02   -2.885444
    68  2.470263e-06  -12.911186
    69  1.089799e-05  -11.426932
    70  1.884972e-14  -31.602278
    71  2.589970e-05  -10.561279
    72  6.269101e-05   -9.677292
    73  1.305723e-05  -11.246169
    74  1.120837e-11  -25.214360
    75  1.505795e-18  -41.037210
    76  2.447709e-16  -35.946209
    77  1.246197e-13  -29.713510
