        line         score  log(score)
0          1  6.306209e-13  -28.092072
1          2  1.203661e-14  -32.050823
2          3  6.990770e-09  -18.778675
3          4  5.439420e-04   -7.516668
4          5  8.716925e-08  -16.255414
5          6  4.174794e-09  -19.294201
6          7  3.194491e-23  -51.798029
7          8  1.997626e-23  -52.267497
8          9  2.118098e-07  -15.367577
9         10  2.740501e-11  -24.320295
10        11  2.637445e-20  -45.081891
11        12  4.887230e-29  -65.188342
12        13  9.109631e-06  -11.606178
13        14  1.434909e-08  -18.059580
14        15  1.164055e-04   -9.058430
15        16  9.917555e-41  -92.111682
16        17  5.066604e-08  -16.798010
17        18  9.226966e-19  -41.526986
18        19  2.003086e-07  -15.423407
19        20  1.780273e-31  -70.803371
20        21  8.376132e-20  -43.926316
21        22  2.055524e-15  -33.818245
22        23  2.908838e-06  -12.747757
23        24  4.907447e-07  -14.527342
24        25  9.620254e-21  -46.090416
25        26  1.049337e-24  -55.213884
26        27  2.893391e-03   -5.845326
27        28  9.547523e-09  -18.466984
28        29  1.036190e-32  -73.647173
29        30  5.477691e-12  -25.930337
30        31  7.632220e-20  -44.019323
31        32  5.373783e-10  -21.344319
32        33  9.126566e-10  -20.814661
33        34  1.102380e-19  -43.651645
34        35  4.099288e-05  -10.102112
35        36  4.827790e-29  -65.200579
36        37  2.189748e-11  -24.544649
37        38  2.350336e-22  -49.802314
38        39  9.041843e-06  -11.613648
39        40  1.130924e-23  -52.836422
40        41  1.480611e-10  -22.633396
41        42  4.420608e-10  -21.539574
42        43  4.686444e-02   -3.060496
43        44  4.061119e-09  -19.321807
44        45  5.919724e-25  -55.786337
45        46  6.129622e-09  -18.910133
46        47  2.965469e-09  -19.636231
47        48  4.300729e-06  -12.356726
48        49  7.759645e-15  -32.489840
49        50  3.137525e-46 -104.775480
50        51  4.140020e-11  -23.907735
51        52  6.346696e-18  -39.598597
52        53  7.338950e-06  -11.822315
53        54  1.445268e-13  -29.565311
54        55  1.200446e-02   -4.422477
55        56  3.654271e-14  -30.940295
56        57  9.036828e-11  -23.127128
57        58  5.090958e-45 -101.988863
58        59  9.233389e-03   -4.684929
59        60  1.999284e-09  -20.030477
60        61  7.495564e-13  -27.919295
61        62  3.706517e-29  -65.464875
62        63  5.135524e-35  -78.954296
63        64  1.842837e-13  -29.322300
64        65  1.706029e-30  -68.543384
65        66  3.644377e-16  -35.548176
66        67  1.424055e-02   -4.251662
67        68  2.220394e-12  -26.833336
68        69  2.762209e-04   -8.194310
69        70  1.721455e-22  -50.113702
70        71  1.188087e-06  -13.643166
71        72  1.189014e-11  -25.155311
72        73  5.124485e-11  -23.694406
73        74  4.547181e-18  -39.932024
74        75  1.569436e-23  -52.508741
75        76  1.103647e-25  -57.466007
76        77  6.269836e-13  -28.097856
77        78  1.370615e-06  -13.500251
78        79  1.147630e-01   -2.164886
79        80  1.061311e-16  -36.781857
80        81  8.898186e-08  -16.234833
81        82  1.072157e-18  -41.376860
82        83  8.614385e-10  -20.872417
